date,employee_id,role,hourly_cost,ai_license_cost_allocated,training_cost_allocated,period,year_month
2024-09-01,E001,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E002,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E003,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E004,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E005,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E006,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E007,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E008,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E009,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E010,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E011,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E012,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E013,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E014,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E015,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E016,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E017,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E018,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E019,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E020,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E021,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E022,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E023,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E024,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E025,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E026,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E027,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E028,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E029,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E030,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E031,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E032,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E033,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E034,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-01,E035,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E036,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E037,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E038,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E039,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-01,E040,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-02,E001,Tester,42,1.8,0.6,pre_ai,2024-09
2024-09-02,E002,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-02,E003,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-02,E004,Developer,58,1.8,0.6,pre_ai,2024-09
2024-09-02,E005,Tester,42,1.8,0.6,pre_ai,2024-09
