date,employee_id,team,role,project,complexity,task_hours,tasks_completed,commits,prs_opened,features_delivered,test_cases_written,ai_usage_events,hourly_cost,period,year_month,ai_usage_level
2024-09-01,E001,Platform,Developer,Orion,Medium,2.17,1,1,5,0,3,2,58,pre_ai,2024-09,Low
2024-09-01,E002,Data,Tester,Orion,Low,3.11,3,0,0,0,3,2,58,pre_ai,2024-09,Low
2024-09-01,E003,Data,Developer,Nova,Medium,1.43,2,1,0,1,3,2,58,pre_ai,2024-09,Low
2024-09-01,E004,Payments,Developer,Nova,Medium,2.83,3,4,2,1,4,1,58,pre_ai,2024-09,Low
2024-09-01,E005,Platform,Developer,Apollo,Low,2.22,2,1,0,2,4,4,58,pre_ai,2024-09,Medium
2024-09-01,E006,Platform,Developer,Orion,Low,3.71,3,0,0,0,4,2,42,pre_ai,2024-09,Low
2024-09-01,E007,Data,Developer,Nova,Low,2.63,4,1,1,2,3,1,58,pre_ai,2024-09,Low
2024-09-01,E008,Payments,Developer,Apollo,Medium,4.94,3,6,1,1,4,1,42,pre_ai,2024-09,Low
2024-09-01,E009,Platform,Developer,Apollo,High,3.49,1,4,2,1,0,2,58,pre_ai,2024-09,Low
2024-09-01,E010,Platform,Tester,Orion,Medium,4.23,6,3,1,0,2,1,58,pre_ai,2024-09,Low
2024-09-01,E011,Payments,Developer,Apollo,Medium,4.5,2,1,1,1,2,3,42,pre_ai,2024-09,Medium
2024-09-01,E012,Payments,Tester,Orion,Medium,3.86,3,3,0,1,3,1,58,pre_ai,2024-09,Low
2024-09-01,E013,CoreApp,Developer,Orion,Medium,5.65,2,1,0,1,7,2,42,pre_ai,2024-09,Low
2024-09-01,E014,Platform,Developer,Orion,Low,3.36,6,3,0,1,3,0,58,pre_ai,2024-09,Low
2024-09-01,E015,CoreApp,Tester,Nova,Low,3.5,2,2,1,1,1,3,58,pre_ai,2024-09,Medium
2024-09-01,E016,CoreApp,Developer,Orion,Low,2.55,3,0,0,1,3,1,58,pre_ai,2024-09,Low
2024-09-01,E017,CoreApp,Developer,Nova,Low,0.79,1,4,1,1,1,1,42,pre_ai,2024-09,Low
2024-09-01,E018,CoreApp,Developer,Nova,Medium,5.02,2,1,0,2,3,2,58,pre_ai,2024-09,Low
2024-09-01,E019,Data,Tester,Nova,Low,3.99,5,1,0,1,3,1,58,pre_ai,2024-09,Low
2024-09-01,E020,Platform,Developer,Orion,High,2.32,5,6,2,0,2,2,58,pre_ai,2024-09,Low
2024-09-01,E021,Data,Developer,Apollo,High,2.84,3,1,0,1,2,2,58,pre_ai,2024-09,Low
2024-09-01,E022,Data,Tester,Orion,High,3.49,1,1,0,1,2,3,42,pre_ai,2024-09,Medium
2024-09-01,E023,CoreApp,Developer,Orion,High,5.82,4,5,0,0,2,3,58,pre_ai,2024-09,Medium
2024-09-01,E024,Platform,Tester,Orion,Low,1.62,6,5,1,0,3,0,58,pre_ai,2024-09,Low
2024-09-01,E025,Data,Tester,Nova,Medium,1.28,4,4,0,0,3,4,42,pre_ai,2024-09,Medium
2024-09-01,E026,Platform,Developer,Apollo,Low,3.92,1,3,0,0,1,1,58,pre_ai,2024-09,Low
2024-09-01,E027,Data,Developer,Orion,Medium,4.0,3,4,1,0,1,1,58,pre_ai,2024-09,Low
2024-09-01,E028,CoreApp,Tester,Nova,High,1.61,5,0,0,1,2,2,58,pre_ai,2024-09,Low
2024-09-01,E029,Data,Developer,Orion,Medium,1.36,7,0,0,1,0,5,58,pre_ai,2024-09,Medium
2024-09-01,E030,Data,Developer,Orion,Low,2.57,5,7,2,1,5,4,58,pre_ai,2024-09,Medium
2024-09-01,E031,CoreApp,Developer,Nova,Medium,2.47,2,2,1,1,4,3,58,pre_ai,2024-09,Medium
2024-09-01,E032,CoreApp,Tester,Apollo,Low,1.81,3,3,0,1,3,1,58,pre_ai,2024-09,Low
2024-09-01,E033,Data,Developer,Apollo,Low,2.64,1,1,0,1,3,1,42,pre_ai,2024-09,Low
2024-09-01,E034,Payments,Developer,Nova,Medium,2.68,2,6,2,0,2,5,42,pre_ai,2024-09,Medium
2024-09-01,E035,Payments,Tester,Nova,High,5.1,4,1,0,0,2,3,58,pre_ai,2024-09,Medium
2024-09-01,E036,Data,Tester,Nova,Medium,1.24,6,3,2,0,5,1,58,pre_ai,2024-09,Low
2024-09-01,E037,CoreApp,Developer,Nova,Low,2.06,1,4,0,0,7,2,58,pre_ai,2024-09,Low
2024-09-01,E038,Payments,Developer,Nova,Medium,5.49,5,1,0,1,3,1,58,pre_ai,2024-09,Low
2024-09-01,E039,Data,Developer,Nova,Medium,3.22,1,4,2,0,3,4,58,pre_ai,2024-09,Medium
2024-09-01,E040,Platform,Developer,Nova,Medium,5.75,3,4,1,1,3,0,58,pre_ai,2024-09,Low
2024-09-02,E001,Payments,Developer,Orion,Medium,3.99,1,3,2,1,2,1,42,pre_ai,2024-09,Low
2024-09-02,E002,Platform,Developer,Orion,High,5.97,3,2,1,0,2,3,58,pre_ai,2024-09,Medium
2024-09-02,E003,Data,Tester,Orion,High,2.76,2,2,1,2,5,1,58,pre_ai,2024-09,Low
2024-09-02,E004,Payments,Developer,Orion,Medium,4.21,4,3,0,0,1,2,58,pre_ai,2024-09,Low
2024-09-02,E005,Payments,Developer,Apollo,Medium,4.04,5,3,0,0,5,3,42,pre_ai,2024-09,Medium
2024-09-02,E006,Data,Developer,Orion,High,4.43,4,0,2,0,1,3,42,pre_ai,2024-09,Medium
2024-09-02,E007,Payments,Tester,Apollo,Medium,3.21,1,4,1,1,5,1,58,pre_ai,2024-09,Low
2024-09-02,E008,Data,Tester,Apollo,Medium,4.52,5,2,2,0,3,3,58,pre_ai,2024-09,Medium
2024-09-02,E009,CoreApp,Developer,Apollo,Medium,4.25,1,1,0,0,4,3,58,pre_ai,2024-09,Medium
2024-09-02,E010,CoreApp,Developer,Nova,Medium,4.25,2,3,0,0,2,0,58,pre_ai,2024-09,Low
2024-09-02,E011,Payments,Developer,Nova,Medium,2.98,2,2,1,2,3,0,58,pre_ai,2024-09,Low
2024-09-02,E012,CoreApp,Developer,Apollo,Medium,3.74,5,2,3,1,7,1,58,pre_ai,2024-09,Low
2024-09-02,E013,Payments,Tester,Orion,Medium,3.14,1,2,2,0,3,2,42,pre_ai,2024-09,Low
2024-09-02,E014,Platform,Developer,Orion,Medium,3.49,4,3,1,0,0,3,58,pre_ai,2024-09,Medium
2024-09-02,E015,Payments,Tester,Apollo,High,4.9,1,1,2,0,1,1,58,pre_ai,2024-09,Low
2024-09-02,E016,Payments,Tester,Orion,Medium,3.52,5,2,2,2,3,2,58,pre_ai,2024-09,Low
2024-09-02,E017,Data,Developer,Nova,Medium,1.76,2,4,0,1,4,2,42,pre_ai,2024-09,Low
2024-09-02,E018,Data,Developer,Apollo,High,5.77,6,1,0,0,4,1,58,pre_ai,2024-09,Low
2024-09-02,E019,Platform,Tester,Nova,High,5.71,3,0,0,1,1,1,58,pre_ai,2024-09,Low
2024-09-02,E020,Platform,Developer,Nova,High,6.85,3,2,0,2,6,1,58,pre_ai,2024-09,Low
2024-09-02,E021,CoreApp,Tester,Apollo,High,0.72,1,1,2,1,2,9,58,pre_ai,2024-09,High
2024-09-02,E022,Platform,Tester,Apollo,High,3.14,6,1,1,0,4,3,58,pre_ai,2024-09,Medium
2024-09-02,E023,CoreApp,Developer,Apollo,Medium,4.35,2,2,1,2,3,2,58,pre_ai,2024-09,Low
2024-09-02,E024,Payments,Developer,Nova,Medium,2.15,5,1,3,1,2,5,58,pre_ai,2024-09,Medium
2024-09-02,E025,CoreApp,Developer,Orion,Medium,5.29,1,1,0,0,5,4,58,pre_ai,2024-09,Medium
2024-09-02,E026,Payments,Developer,Nova,Medium,4.55,4,2,1,1,4,4,58,pre_ai,2024-09,Medium
2024-09-02,E027,Data,Tester,Nova,Medium,1.46,4,1,0,0,4,0,58,pre_ai,2024-09,Low
2024-09-02,E028,CoreApp,Developer,Orion,Low,2.75,1,2,2,1,3,2,58,pre_ai,2024-09,Low
2024-09-02,E029,Data,Developer,Apollo,High,7.76,1,2,0,1,2,1,58,pre_ai,2024-09,Low
2024-09-02,E030,Platform,Developer,Nova,Low,2.49,1,1,0,1,1,2,58,pre_ai,2024-09,Low
2024-09-02,E031,Platform,Developer,Nova,High,3.97,1,2,0,1,3,1,58,pre_ai,2024-09,Low
2024-09-02,E032,Payments,Developer,Orion,Medium,2.52,2,4,2,2,3,2,58,pre_ai,2024-09,Low
2024-09-02,E033,Data,Tester,Apollo,Medium,3.53,5,0,1,0,3,4,58,pre_ai,2024-09,Medium
2024-09-02,E034,CoreApp,Developer,Orion,Medium,3.88,2,4,1,0,5,1,58,pre_ai,2024-09,Low
2024-09-02,E035,Payments,Tester,Orion,Medium,3.85,3,2,2,0,2,4,58,pre_ai,2024-09,Medium
2024-09-02,E036,Platform,Developer,Apollo,Medium,2.91,4,2,0,1,3,0,58,pre_ai,2024-09,Low
2024-09-02,E037,CoreApp,Tester,Apollo,Medium,1.67,4,4,1,2,3,2,42,pre_ai,2024-09,Low
2024-09-02,E038,Platform,Tester,Nova,Low,1.71,3,2,0,1,7,0,58,pre_ai,2024-09,Low
2024-09-02,E039,Data,Tester,Orion,High,4.82,1,3,2,2,1,2,58,pre_ai,2024-09,Low
2024-09-02,E040,Payments,Tester,Nova,Medium,4.59,5,1,0,1,3,1,58,pre_ai,2024-09,Low
2024-09-03,E001,CoreApp,Developer,Apollo,Medium,5.72,2,2,1,1,4,1,42,pre_ai,2024-09,Low
2024-09-03,E002,Platform,Tester,Orion,Medium,3.82,4,0,0,1,2,0,58,pre_ai,2024-09,Low
2024-09-03,E003,Data,Developer,Apollo,Low,5.09,4,2,1,0,2,0,58,pre_ai,2024-09,Low
2024-09-03,E004,CoreApp,Tester,Apollo,Low,2.22,3,1,1,1,0,1,42,pre_ai,2024-09,Low
2024-09-03,E005,CoreApp,Tester,Apollo,Medium,4.12,1,3,0,1,2,2,42,pre_ai,2024-09,Low
2024-09-03,E006,Payments,Developer,Apollo,High,5.29,4,2,2,1,2,1,58,pre_ai,2024-09,Low
2024-09-03,E007,CoreApp,Developer,Orion,Medium,3.89,4,1,2,1,7,3,42,pre_ai,2024-09,Medium
2024-09-03,E008,CoreApp,Tester,Orion,Medium,3.24,3,0,0,0,3,1,42,pre_ai,2024-09,Low
2024-09-03,E009,Data,Tester,Apollo,Low,1.75,1,2,1,0,6,5,58,pre_ai,2024-09,Medium
2024-09-03,E010,Payments,Developer,Apollo,High,3.28,2,1,2,2,2,3,58,pre_ai,2024-09,Medium
2024-09-03,E011,Data,Tester,Orion,Medium,2.99,5,1,1,1,3,4,42,pre_ai,2024-09,Medium
2024-09-03,E012,CoreApp,Developer,Nova,High,3.69,4,2,2,2,3,1,58,pre_ai,2024-09,Low
2024-09-03,E013,Payments,Developer,Nova,Medium,3.63,4,1,1,0,6,1,58,pre_ai,2024-09,Low
2024-09-03,E014,Payments,Developer,Orion,Medium,4.37,3,5,1,0,3,0,58,pre_ai,2024-09,Low
2024-09-03,E015,Payments,Tester,Nova,High,2.62,3,1,0,1,3,4,58,pre_ai,2024-09,Medium
2024-09-03,E016,Platform,Developer,Apollo,Medium,2.18,1,3,0,0,4,4,58,pre_ai,2024-09,Medium
2024-09-03,E017,Payments,Tester,Nova,Medium,4.51,1,1,3,1,3,1,58,pre_ai,2024-09,Low
2024-09-03,E018,Payments,Tester,Apollo,Medium,3.45,5,1,1,1,2,1,58,pre_ai,2024-09,Low
2024-09-03,E019,CoreApp,Developer,Apollo,High,4.13,2,2,0,2,0,0,42,pre_ai,2024-09,Low
2024-09-03,E020,Platform,Developer,Nova,Medium,2.17,2,4,0,1,2,4,42,pre_ai,2024-09,Medium
2024-09-03,E021,Platform,Developer,Apollo,Medium,2.64,4,1,1,0,2,1,42,pre_ai,2024-09,Low
2024-09-03,E022,CoreApp,Developer,Apollo,Medium,3.63,2,1,2,2,3,4,58,pre_ai,2024-09,Medium
2024-09-03,E023,Payments,Tester,Apollo,Low,3.27,1,3,3,1,1,1,58,pre_ai,2024-09,Low
2024-09-03,E024,Data,Developer,Orion,Medium,2.57,1,2,2,1,7,2,58,pre_ai,2024-09,Low
2024-09-03,E025,CoreApp,Developer,Apollo,Low,1.63,1,4,1,0,2,2,58,pre_ai,2024-09,Low
2024-09-03,E026,Data,Tester,Nova,High,5.66,3,5,1,1,3,4,42,pre_ai,2024-09,Medium
2024-09-03,E027,CoreApp,Tester,Nova,Low,3.11,4,1,2,1,3,2,58,pre_ai,2024-09,Low
2024-09-03,E028,CoreApp,Developer,Orion,Low,1.6,4,7,1,1,4,0,58,pre_ai,2024-09,Low
2024-09-03,E029,Payments,Tester,Apollo,High,6.07,2,4,0,0,0,3,58,pre_ai,2024-09,Medium
2024-09-03,E030,Data,Developer,Nova,Medium,3.46,1,2,0,0,5,2,58,pre_ai,2024-09,Low
2024-09-03,E031,Data,Tester,Nova,Medium,2.85,1,0,2,2,3,0,58,pre_ai,2024-09,Low
2024-09-03,E032,Platform,Tester,Nova,Medium,2.57,4,2,2,1,2,4,42,pre_ai,2024-09,Medium
2024-09-03,E033,Platform,Developer,Orion,High,4.95,4,1,0,1,3,0,58,pre_ai,2024-09,Low
2024-09-03,E034,Payments,Developer,Nova,Low,3.74,2,2,0,0,2,1,58,pre_ai,2024-09,Low
2024-09-03,E035,Payments,Developer,Apollo,Medium,2.39,4,1,2,2,3,2,58,pre_ai,2024-09,Low
2024-09-03,E036,Platform,Tester,Apollo,Low,1.5,5,1,1,1,3,4,58,pre_ai,2024-09,Medium
2024-09-03,E037,Payments,Developer,Apollo,Medium,2.24,3,1,0,1,7,2,58,pre_ai,2024-09,Low
2024-09-03,E038,Data,Developer,Orion,Low,1.09,2,1,0,0,1,0,58,pre_ai,2024-09,Low
2024-09-03,E039,Platform,Tester,Apollo,High,2.49,7,4,2,0,2,4,58,pre_ai,2024-09,Medium
2024-09-03,E040,CoreApp,Developer,Orion,High,4.2,1,2,0,2,3,2,58,pre_ai,2024-09,Low
2024-09-04,E001,CoreApp,Tester,Apollo,Low,3.59,1,1,1,0,1,3,58,pre_ai,2024-09,Medium
2024-09-04,E002,Platform,Developer,Orion,High,4.76,7,2,4,1,3,2,58,pre_ai,2024-09,Low
2024-09-04,E003,CoreApp,Developer,Apollo,Low,1.8,1,2,2,0,4,3,58,pre_ai,2024-09,Medium
2024-09-04,E004,Platform,Developer,Apollo,Medium,5.03,5,3,1,1,3,3,58,pre_ai,2024-09,Medium
2024-09-04,E005,CoreApp,Tester,Orion,Low,3.42,1,2,3,0,6,3,42,pre_ai,2024-09,Medium
2024-09-04,E006,Platform,Developer,Apollo,Low,2.63,3,2,2,0,6,1,58,pre_ai,2024-09,Low
2024-09-04,E007,CoreApp,Developer,Orion,Medium,1.27,5,3,0,0,2,3,58,pre_ai,2024-09,Medium
2024-09-04,E008,Platform,Developer,Orion,High,4.08,2,2,1,1,1,4,42,pre_ai,2024-09,Medium
2024-09-04,E009,Payments,Tester,Orion,High,4.32,3,1,0,0,5,3,42,pre_ai,2024-09,Medium
2024-09-04,E010,Platform,Developer,Nova,Low,2.17,5,2,1,0,2,2,58,pre_ai,2024-09,Low
2024-09-04,E011,Platform,Developer,Apollo,Low,1.04,5,0,0,1,3,0,42,pre_ai,2024-09,Low
2024-09-04,E012,Platform,Tester,Nova,Medium,7.3,3,2,0,2,1,2,42,pre_ai,2024-09,Low
2024-09-04,E013,Payments,Tester,Apollo,Medium,3.65,2,0,0,0,5,0,58,pre_ai,2024-09,Low
2024-09-04,E014,Data,Developer,Nova,Medium,3.78,4,3,0,0,3,2,58,pre_ai,2024-09,Low
2024-09-04,E015,Payments,Tester,Apollo,High,7.46,5,2,2,2,4,3,58,pre_ai,2024-09,Medium
2024-09-04,E016,Data,Developer,Apollo,Medium,4.48,2,4,2,1,1,5,58,pre_ai,2024-09,Medium
2024-09-04,E017,Data,Developer,Orion,High,4.49,1,1,0,1,3,1,42,pre_ai,2024-09,Low
2024-09-04,E018,Platform,Tester,Nova,High,5.42,1,4,3,1,1,6,58,pre_ai,2024-09,Medium
2024-09-04,E019,Platform,Developer,Apollo,Low,3.43,1,2,1,1,6,4,42,pre_ai,2024-09,Medium
2024-09-04,E020,Platform,Developer,Orion,Low,0.98,1,0,0,1,2,0,58,pre_ai,2024-09,Low
2024-09-04,E021,Payments,Developer,Orion,Medium,4.17,4,1,1,0,3,2,42,pre_ai,2024-09,Low
2024-09-04,E022,Platform,Tester,Nova,Medium,2.66,1,4,1,0,2,2,42,pre_ai,2024-09,Low
2024-09-04,E023,Payments,Tester,Orion,High,3.68,1,4,1,0,1,3,58,pre_ai,2024-09,Medium
2024-09-04,E024,Payments,Developer,Orion,Medium,3.95,5,1,1,0,4,1,58,pre_ai,2024-09,Low
2024-09-04,E025,CoreApp,Developer,Orion,Medium,2.27,2,4,0,0,2,3,42,pre_ai,2024-09,Medium
2024-09-04,E026,Platform,Developer,Nova,Low,3.48,4,1,5,0,3,0,58,pre_ai,2024-09,Low
2024-09-04,E027,CoreApp,Developer,Orion,Medium,3.21,1,0,1,1,0,2,58,pre_ai,2024-09,Low
2024-09-04,E028,Data,Developer,Nova,High,5.1,5,2,0,2,2,2,58,pre_ai,2024-09,Low
2024-09-04,E029,Data,Tester,Orion,Medium,3.74,2,1,0,1,1,2,42,pre_ai,2024-09,Low
2024-09-04,E030,Data,Developer,Apollo,Low,3.48,1,0,3,0,4,0,42,pre_ai,2024-09,Low
2024-09-04,E031,Platform,Developer,Nova,Medium,2.96,1,2,0,0,0,1,58,pre_ai,2024-09,Low
2024-09-04,E032,Data,Developer,Nova,Medium,1.23,5,4,2,1,2,1,42,pre_ai,2024-09,Low
2024-09-04,E033,Data,Developer,Apollo,Low,5.11,2,2,1,2,3,2,58,pre_ai,2024-09,Low
2024-09-04,E034,Payments,Developer,Apollo,Low,2.78,1,4,4,1,2,3,58,pre_ai,2024-09,Medium
2024-09-04,E035,Payments,Developer,Orion,Low,4.53,2,1,1,0,3,2,42,pre_ai,2024-09,Low
2024-09-04,E036,CoreApp,Developer,Apollo,Medium,4.27,1,2,0,1,4,2,58,pre_ai,2024-09,Low
2024-09-04,E037,CoreApp,Tester,Orion,Medium,4.34,4,1,0,2,1,1,42,pre_ai,2024-09,Low
2024-09-04,E038,Data,Tester,Nova,High,5.16,4,1,0,0,3,1,58,pre_ai,2024-09,Low
2024-09-04,E039,CoreApp,Developer,Apollo,Medium,1.63,4,0,1,1,2,3,42,pre_ai,2024-09,Medium
2024-09-04,E040,Payments,Developer,Nova,Medium,4.77,3,0,3,2,5,1,58,pre_ai,2024-09,Low
2024-09-05,E001,Platform,Developer,Apollo,Medium,4.08,4,3,0,0,4,1,58,pre_ai,2024-09,Low
2024-09-05,E002,Payments,Tester,Nova,High,3.89,6,1,3,0,4,4,58,pre_ai,2024-09,Medium
2024-09-05,E003,CoreApp,Developer,Nova,High,5.38,3,3,2,1,2,2,58,pre_ai,2024-09,Low
2024-09-05,E004,CoreApp,Tester,Nova,Low,1.6,4,0,0,0,1,2,58,pre_ai,2024-09,Low
2024-09-05,E005,CoreApp,Tester,Nova,Medium,4.88,3,3,0,0,3,2,42,pre_ai,2024-09,Low
2024-09-05,E006,CoreApp,Developer,Apollo,Medium,1.41,3,3,2,1,2,2,58,pre_ai,2024-09,Low
2024-09-05,E007,Payments,Developer,Nova,Medium,2.44,4,5,1,1,1,0,58,pre_ai,2024-09,Low
2024-09-05,E008,CoreApp,Developer,Apollo,Medium,4.01,6,3,1,1,6,1,42,pre_ai,2024-09,Low
2024-09-05,E009,Payments,Developer,Nova,Low,1.61,1,5,1,2,3,4,42,pre_ai,2024-09,Medium
2024-09-05,E010,CoreApp,Developer,Nova,Medium,4.26,3,2,1,1,2,3,42,pre_ai,2024-09,Medium
2024-09-05,E011,Platform,Developer,Apollo,Medium,3.68,2,1,1,0,4,2,58,pre_ai,2024-09,Low
2024-09-05,E012,Data,Developer,Nova,Low,1.19,3,1,2,0,1,1,42,pre_ai,2024-09,Low
2024-09-05,E013,Platform,Developer,Orion,Low,3.64,6,0,2,1,3,4,42,pre_ai,2024-09,Medium
2024-09-05,E014,Payments,Tester,Apollo,Medium,4.09,5,0,2,2,5,0,42,pre_ai,2024-09,Low
2024-09-05,E015,CoreApp,Developer,Apollo,High,4.14,4,2,0,0,4,3,58,pre_ai,2024-09,Medium
2024-09-05,E016,Platform,Tester,Apollo,Medium,2.89,4,2,0,0,1,1,58,pre_ai,2024-09,Low
2024-09-05,E017,Payments,Developer,Orion,Medium,4.55,3,2,1,1,4,2,58,pre_ai,2024-09,Low
2024-09-05,E018,Data,Developer,Nova,Medium,0.91,7,0,4,1,3,0,58,pre_ai,2024-09,Low
2024-09-05,E019,Data,Developer,Apollo,Low,0.48,6,1,1,0,2,4,58,pre_ai,2024-09,Medium
2024-09-05,E020,CoreApp,Developer,Apollo,Medium,2.86,2,4,1,0,2,1,58,pre_ai,2024-09,Low
2024-09-05,E021,Payments,Developer,Apollo,Medium,5.96,3,2,0,1,5,3,42,pre_ai,2024-09,Medium
2024-09-05,E022,Payments,Tester,Apollo,High,4.98,3,2,2,0,4,4,58,pre_ai,2024-09,Medium
2024-09-05,E023,CoreApp,Tester,Orion,Low,2.26,2,5,1,1,2,2,58,pre_ai,2024-09,Low
2024-09-05,E024,Data,Tester,Apollo,Medium,4.13,5,2,0,0,2,2,58,pre_ai,2024-09,Low
2024-09-05,E025,Payments,Developer,Apollo,High,4.12,3,2,0,0,4,2,58,pre_ai,2024-09,Low
2024-09-05,E026,Payments,Developer,Apollo,Low,3.52,3,1,0,0,4,1,58,pre_ai,2024-09,Low
2024-09-05,E027,Payments,Tester,Apollo,Low,3.98,2,0,3,2,1,0,58,pre_ai,2024-09,Low
2024-09-05,E028,Payments,Developer,Apollo,High,7.08,2,1,0,0,3,2,58,pre_ai,2024-09,Low
2024-09-05,E029,CoreApp,Developer,Apollo,Medium,3.86,2,0,2,0,4,0,42,pre_ai,2024-09,Low
2024-09-05,E030,Platform,Developer,Orion,Medium,2.86,3,0,0,1,5,3,58,pre_ai,2024-09,Medium
2024-09-05,E031,Data,Tester,Apollo,Low,1.51,3,3,1,1,4,5,42,pre_ai,2024-09,Medium
2024-09-05,E032,Payments,Developer,Orion,Medium,4.49,4,3,1,1,6,3,42,pre_ai,2024-09,Medium
2024-09-05,E033,Platform,Developer,Apollo,Medium,2.69,3,4,0,1,4,4,58,pre_ai,2024-09,Medium
